tauf,beat,apd,camax
40,1,230.19881043524148,2.385840116606591
40,2,226.05980985413714,2.2525809202943203
40,3,229.22164297123004,2.350549661732186
40,4,228.10969567206337,2.3131674627506134
40,5,228.74734783691383,2.3363925985834366
40,6,227.73741022324384,2.2960042501440174
40,7,227.7460975912877,2.3066380766163803
40,8,228.23702756369585,2.3171725434704085
40,9,228.1670251815949,2.302686046689344
40,10,228.61550603556088,2.3396514661235623
40,11,228.46302343233447,2.3140399454991596
40,12,227.86740628944926,2.2977241425362536
40,13,227.75461379098533,2.312105337232493
40,14,228.2455819886368,2.3271382305949295
40,15,228.64985614960278,2.3436585569995128
40,16,227.4014148791466,2.310339149738957
40,17,228.42180578376156,2.3326123251242
40,18,227.9256997706425,2.3018923134746556
40,19,228.13189238326322,2.322125262733368
40,20,227.50797633748243,2.315559899741267
40,21,228.41006215184098,2.3403154529526846
40,22,228.8678540400906,2.3343660476300463
40,23,227.48499331226776,2.3085954157168196
40,24,229.02992285025448,2.333728719082928
40,25,228.67699913596607,2.3386507000900534
40,26,227.38879058184193,2.3069228529553425
40,27,228.0223122166817,2.343846708289162
40,28,228.55626025689617,2.335795533495079
40,29,228.01881907283678,2.3342349681759185
40,30,228.06522775524536,2.3055147916906233
40,31,228.03875250624333,2.3104966642423737
40,32,228.64447226157063,2.3360146429499777
40,33,228.81741135100856,2.341411166810595
40,34,228.6844766533468,2.3318151624163272
40,35,227.36515248791875,2.3151662879420454
40,36,227.5730910362272,2.3031397772552915
40,37,228.45278943475932,2.341072338597057
40,38,227.28704882578677,2.3013516974365094
40,39,228.20147624117635,2.3405892447568895
40,40,229.1220673771295,2.3440851819841875
40,41,226.216271556832,2.250547379997833
40,42,229.17555981386067,2.3564118460895913
40,43,227.36888830279895,2.308127036915476
40,44,228.1017783714433,2.323272733187943
40,45,228.13945412481917,2.329367604580215
40,46,228.27311049744276,2.3263885179791
40,47,227.71985265585863,2.3056770126857384
40,48,226.89618172895462,2.287964091496881
40,49,228.45357883893666,2.330946753821928
40,50,228.4171698516111,2.3247918018824714
40,51,227.3234759476436,2.2986038985700024
40,52,229.01971321235214,2.3631654877999155
40,53,227.2572649140493,2.2815061959615
40,54,227.6804277483061,2.318060811450177
40,55,228.22501705252398,2.3334634371521368
40,56,227.55138722600168,2.311043359687653
40,57,229.68656228782493,2.3630518102948863
40,58,227.38945923497886,2.293656773652175
40,59,229.2399829046335,2.350000523849614
40,60,228.72479541739085,2.354844042380777
40,61,227.4586252071931,2.3101454005245925
40,62,227.18926220787398,2.306828313906333
40,63,228.6612006633768,2.3379869214999722
40,64,228.24489035926308,2.316823514330462
40,65,229.7131695158605,2.3746251219743613
40,66,227.07217959937043,2.2961854755821176
40,67,228.51003927933925,2.3542177098346384
40,68,227.69927152595483,2.3188962151251378
40,69,227.93960690012682,2.326922528459686
40,70,228.12016962006237,2.342419727532036
40,71,229.22707107247334,2.3531641072727942
40,72,227.28843512130334,2.31911292901094
40,73,228.40854653856513,2.3442294667486605
40,74,228.72420829535986,2.3356005464520537
40,75,226.95975615460702,2.279376815741258
40,76,228.76657870354757,2.31792118678964
40,77,229.0187192119447,2.339569337475427
40,78,228.47068618489357,2.3262382841797353
40,79,227.63730744758868,2.32229562419698
40,80,229.88773614032107,2.364645173795998
40,81,226.3826727906271,2.2867366903894073
40,82,229.12399014640323,2.3471311443055214
40,83,226.62010517236195,2.275358062161344
40,84,229.72659190613194,2.361682579258314
40,85,227.90314274363118,2.316944137376927
40,86,228.90425087419862,2.3600338420526037
40,87,227.7978083328344,2.3009863527457233
40,88,227.73333298211946,2.3310128460134885
40,89,229.22977509345947,2.357518348137363
40,90,228.358419665954,2.322828128782129
40,91,227.9329976812478,2.3334257085338064
40,92,228.96631351701944,2.357820993432619
40,93,227.7127353225078,2.3049701026923866
40,94,228.63481303030494,2.3418778539320755
40,95,226.88124826019703,2.2977541309949543
40,96,228.33730372401624,2.342965155409867
40,97,229.09654533909998,2.360539336537069
40,98,228.83768569009044,2.3438416389749532
40,99,227.11535685634954,2.2950718534660677
40,100,229.41909380860307,2.3839834322352225
40,101,227.38312219101135,2.305714903466155
40,102,228.38661317506558,2.3406623604956507
40,103,228.84606347046065,2.3419393053508832
40,104,227.99525109938986,2.319468733664548
40,105,227.09247216407311,2.311716172889766
40,106,228.84141687777446,2.3651630467842764
40,107,226.8855235779738,2.3008708140942553
40,108,229.4390260852124,2.3616102719300467
40,109,228.56697614104633,2.338618843542092
40,110,228.6479447220736,2.3319881178898343
40,111,229.13717790133524,2.334777153596849
40,112,226.03773404339154,2.2775913064018223
40,113,230.20258433952404,2.394352925558578
40,114,226.0294681798914,2.264509309783987
40,115,229.3491078797815,2.377654790619551
40,116,227.60222310414247,2.320725528742961
40,117,229.48159583314555,2.3637890180120764
40,118,227.49633630796598,2.307160032417103
40,119,228.1658088057302,2.340318679581824
40,120,227.9609543085462,2.31354553674091
40,121,228.31169490380853,2.3343812460442934
40,122,226.667601159068,2.274744327207157
40,123,228.54053221147478,2.356525279520136
40,124,229.4664789043236,2.3648366895037576
40,125,227.6517798910063,2.3219316399789123
40,126,227.9861365212637,2.3404911207111794
40,127,227.0480848349689,2.3137447695572213
40,128,228.94774384688935,2.360065859437379
40,129,227.66104700256983,2.308195087623586
40,130,228.8056359767579,2.344857095036788
40,131,226.87641023276956,2.2868755032029044
40,132,229.38487891389377,2.37211728580495
40,133,226.45147379882837,2.2810959143904297
40,134,230.66193566962465,2.4056019877467825
40,135,226.40653465668584,2.2759450813506175
40,136,228.51644058983948,2.366866544374828
40,137,227.61656667262287,2.3208287830342567
40,138,228.96745400958753,2.358402473250877
40,139,227.65054777212208,2.3115981952734797
40,140,228.87667965639412,2.348088128216437
40,141,228.10144453682733,2.3274180087755614
40,142,228.2270005071914,2.3325119023114844
40,143,228.66464585355425,2.3483950386831687
40,144,227.8473341662684,2.322451047205733
40,145,228.57009238007595,2.349295281159613
40,146,229.043953458131,2.3553422227296728
40,147,228.21788392122835,2.333805145611048
40,148,228.1894331618314,2.354921315776565
40,149,228.14048040518537,2.322741087826053
40,150,228.31652557240886,2.3431252272970875
40,151,228.17728569329483,2.3349557947137227
40,152,227.47491900567547,2.293312986320248
40,153,230.33576645894937,2.4019778589251626
40,154,228.85458050745365,2.3329496694027285
40,155,226.46815962318942,2.290458540633735
40,156,229.75602965339203,2.3822182984394145
40,157,227.34540500026924,2.305728816599173
40,158,228.06535486067878,2.335203067827283
40,159,228.90962159226183,2.3518621363669956
40,160,227.52466862730944,2.303459550235327
40,161,228.52069776962162,2.3299732630387577
40,162,228.81039039759344,2.3488198004173455
40,163,227.3126815487194,2.3066560912108747
40,164,227.81331548699382,2.34470528334165
40,165,228.02805739088217,2.319737614696568
40,166,228.56218957563397,2.3461952563794446
40,167,228.09633837096771,2.3349370332929573
40,168,227.5802430049589,2.3165717178843463
40,169,227.16215389179706,2.315763224629212
40,170,228.12963059045433,2.3337613244008772
40,171,226.9361672610903,2.29245092038527
40,172,228.67459147211775,2.3572263507434426
40,173,228.51268802751292,2.3288329867282966
40,174,227.4358610642812,2.3147168937412967
40,175,229.99948358435358,2.386690989629897
40,176,227.41221315489383,2.308222607383114
40,177,228.33812639614916,2.3592984152603216
40,178,228.63242308897316,2.337260753790913
40,179,227.90587550193595,2.316187646277504
40,180,227.78463271403598,2.3315319970054578
40,181,228.54133984489454,2.35058561089549
40,182,227.52353027085337,2.324389095097168
40,183,227.93744737975067,2.3262696914028966
40,184,228.79529994646873,2.3546626472417627
40,185,227.02517649446963,2.2913917834548703
40,186,227.85536630742718,2.3067685488600733
40,187,228.14376832874404,2.34475235709523
40,188,227.8459001510273,2.3185837147259827
40,189,229.77617223274865,2.380582639513637
40,190,226.86834313265717,2.3005619957440184
40,191,229.23029567246704,2.357259509264864
40,192,226.82474845476827,2.2856461057007653
40,193,228.09357367734628,2.344015159779688
40,194,228.87869298603619,2.3424216151600175
40,195,227.08294646823197,2.3062506155021127
40,196,228.90281957087427,2.362753561644848
40,197,227.7562086239268,2.311160069980406
40,198,228.801070898131,2.357902167861273
40,199,227.93475524337555,2.3311433032009483
48,1,242.74206524612703,2.789260233336818
48,2,233.07863044151338,2.455511288391038
48,3,242.31390913919768,2.7705999270471655
48,4,234.81706175781505,2.5073231112174725
48,5,241.68000288655412,2.747773970966144
48,6,235.10976019567602,2.507246367475909
48,7,240.0191039001188,2.6899726695019353
48,8,236.4298167151146,2.5544535473346226
48,9,239.88306149552636,2.6585241480585635
48,10,237.25529344034294,2.5960564194325437
48,11,239.59170714144238,2.6537781792178237
48,12,236.86763975842723,2.5605254622189073
48,13,238.7794702512674,2.647923727095292
48,14,237.61223478998818,2.605746367668323
48,15,239.2883064209709,2.6692208765153427
48,16,236.78203050334014,2.5882268280428127
48,17,239.24149365068752,2.6630340364751297
48,18,237.28250538923203,2.5771167838797764
48,19,238.9740927231196,2.6507480323571047
48,20,236.94061758030057,2.5970128808612767
48,21,239.16346144047748,2.673342134570447
48,22,238.46477289878567,2.619132181654211
48,23,237.54933867545333,2.6105981650069494
48,24,239.28421119821996,2.6406482586399354
48,25,238.38803794382147,2.6293874904213457
48,26,237.46213222726055,2.608133096579083
48,27,238.18272256243017,2.653498378791416
48,28,238.67027119703016,2.643261101365703
48,29,237.78692324479744,2.628987119178467
48,30,238.4204501152526,2.613341886825003
48,31,237.97377175116162,2.6052700639776836
48,32,238.83197113559072,2.643297400131134
48,33,238.73401359491072,2.639276849846011
48,34,238.7422771791953,2.6352206632546458
48,35,237.07940519598196,2.6051149601077475
48,36,238.06462129602915,2.61440504142691
48,37,238.42213095511215,2.641914706481246
48,38,237.28727018681275,2.5980589140742625
48,39,238.56511954309462,2.6526888598847798
48,40,239.13953814194429,2.6461891764371623
48,41,235.9411382143644,2.529811109573545
48,42,240.0236736597235,2.6858715724269375
48,43,236.35008183391983,2.5756043377692053
48,44,239.34663512411862,2.6656807940831824
48,45,237.14976254436078,2.596473675644081
48,46,239.13816600988685,2.6582456101430556
48,47,237.0452977099103,2.5804565934073467
48,48,237.60683778962448,2.6061221640878665
48,49,238.32721459566346,2.6235010746547753
48,50,238.6631764291069,2.6332997159991827
48,51,237.12371805268776,2.58553877970539
48,52,239.51347398656617,2.6861383636852603
48,53,236.49311657819635,2.5489139381005854
48,54,238.46692811748653,2.6433571555127076
48,55,237.77933017964824,2.618757787383019
48,56,237.87794632206715,2.62149344655364
48,57,239.83650878454864,2.671248913394448
48,58,236.96157245642826,2.5766861830433623
48,59,239.90905361282785,2.674948909882375
48,60,237.8743931700701,2.6292477264894196
48,61,238.0842104712574,2.6291290164504177
48,62,236.93360278245018,2.591777743333228
48,63,239.2720730115434,2.6576725903628122
48,64,237.83880023499296,2.6013314320152143
48,65,240.16055423114085,2.6990365866150694
48,66,236.17548886625445,2.56415240096155
48,67,239.59786591919692,2.694279524972472
48,68,236.88779940205495,2.5897346425647414
48,69,238.85060581115977,2.6593880272311603
48,70,237.48092871578774,2.6226059522464267
48,71,240.1261160899121,2.685646313979302
48,72,236.23027783017096,2.5855741187145265
48,73,239.4587142311393,2.6827369955580265
48,74,237.7875366573171,2.6015866564916066
48,75,237.6982518479199,2.596851741127795
48,76,238.54118546993777,2.598796144474433
48,77,239.34000695370196,2.6507404151781504
48,78,238.23391624283613,2.6129192576687115
48,79,237.7282814215905,2.6242671681598795
48,80,240.26890311080206,2.6789922454064117
48,81,235.5611566730404,2.5585591000972068
48,82,240.4178110745852,2.691022621121139
48,83,235.03837045579348,2.516360853500067
48,84,241.71968545409982,2.7358926907386225
48,85,235.65474680355328,2.5407356855574985
48,86,240.81796331055375,2.7330624752426753
48,87,236.02117166541575,2.5335054573335474
48,88,239.2868632428981,2.6862707967931017
48,89,238.16827463633308,2.620225872215853
48,90,239.15878050186438,2.6502442852521133
48,91,237.2449602803863,2.609547927554029
48,92,239.76585004383378,2.6885938653246306
48,93,236.99963946670323,2.5761351923357445
48,94,239.65043124285876,2.6779705483365657
48,95,235.822814617095,2.5598239998152614
48,96,239.64219323154248,2.6907210484516537
48,97,238.10028990674255,2.630092814804639
48,98,239.68437914362949,2.6751334056498046
48,99,236.21377919306542,2.5594921432649427
48,100,240.6466773641696,2.737425379564481
48,101,235.9454889431654,2.5574757415086546
48,102,239.79706773361977,2.689144926785694
48,103,237.81823343290307,2.60505780458261
48,104,238.6934218258466,2.6413455689364116
48,105,236.53887340327492,2.5893564043188726
48,106,239.64923266511687,2.699051992205449
48,107,235.9985428113141,2.5677872022963313
48,108,240.74455240647148,2.7099001660911557
48,109,237.22231834123158,2.592442134628191
48,110,239.904253036897,2.6739404980471693
48,111,238.08887205008068,2.5956451701616445
48,112,236.53526933982357,2.5898889709906134
48,113,240.53496662689577,2.709503977496336
48,114,235.0264903737334,2.523960273768108
48,115,240.89445386279112,2.7366422623117335
48,116,236.03676672331494,2.5677244542738835
48,117,241.083642003141,2.723906898761109
48,118,235.7104332341696,2.544719857812942
48,119,239.72334768531437,2.697540683113096
48,120,236.53515111977322,2.5596103683669895
48,121,239.65561102738138,2.6823759008665786
48,122,235.40908388330718,2.5241853341241782
48,123,239.930903000095,2.7079700633579207
48,124,238.28578925522743,2.6233566918825164
48,125,238.28091877348197,2.64208964204196
48,126,237.63004409037967,2.6305822031874597
48,127,237.23167977522098,2.6187554184036705
48,128,239.2598781595225,2.6695948624858334
48,129,237.1962169567123,2.589086998555893
48,130,239.40075935069763,2.66419480933736
48,131,236.13528614667302,2.556892633274785
48,132,240.58606511275138,2.7137941127975767
48,133,234.95099160933023,2.5267444840651763
48,134,242.5690777932832,2.7833747269110405
48,135,233.8267274162863,2.4882224692821615
48,136,240.97211622456234,2.763202913064623
48,137,235.29865165615047,2.539859585917823
48,138,241.16783853191737,2.7377728710832487
48,139,235.4055536931046,2.5358579762631592
48,140,241.11303573027544,2.72679544219804
48,141,235.9365608047956,2.5513456669663652
48,142,240.201579953311,2.699105954061347
48,143,236.85737899318337,2.5861709437410756
48,144,239.3498045435481,2.671270258716235
48,145,237.51836800824094,2.612760402664572
48,146,239.9588378398039,2.6913088330767376
48,147,237.38491535599314,2.6051661123009953
48,148,239.12631360737578,2.6910863710472452
48,149,237.3980538028918,2.594637979113963
48,150,239.0116492322486,2.667507228533491
48,151,237.5177984047914,2.610557855639841
48,152,238.09715208617854,2.6030158896914637
48,153,240.11729570459283,2.6997075670291584
48,154,238.74638507371128,2.6290733389797483
48,155,236.35321782838582,2.580858504803502
48,156,240.44655458715715,2.711231292875254
48,157,236.3511247281931,2.568716135394562
48,158,239.1089388708424,2.671396863362124
48,159,238.12361002778925,2.6236937300255683
48,160,237.92511793173617,2.6109038132603795
48,161,238.4358009915013,2.6227220461220035
48,162,239.19327586973668,2.659518555081537
48,163,236.95126043390337,2.5895396097445333
48,164,238.32677627889643,2.662983695817169
48,165,237.78762477678538,2.60734897823483
48,166,238.96932134257077,2.660338592838382
48,167,237.63926884381362,2.6188373722370333
48,168,238.07109958930232,2.628317926606867
48,169,236.9210432904074,2.604392437233752
48,170,238.6178823392911,2.6491710801396713
48,171,236.51624882581382,2.5699056266570426
48,172,239.42464275893144,2.686258354791843
48,173,237.90348126914614,2.6049637230400657
48,174,237.8573878716852,2.6257139313973417
48,175,240.07982417873427,2.694030974230294
48,176,236.85340413300582,2.586376726135599
48,177,239.00231116056239,2.6872709976360674
48,178,238.29363101065974,2.622333972626303
48,179,238.1311636063183,2.619147167345699
48,180,237.75489353219018,2.6295220636398486
48,181,238.827692740997,2.661334016701261
48,182,237.17014321951137,2.6146018624244483
48,183,238.51488471625635,2.6426239642735965
48,184,238.5809249505328,2.647591671261885
48,185,237.1155066302017,2.587921735987952
48,186,238.26547747753648,2.6108969962906885
48,187,238.00067520677112,2.644525479696599
48,188,238.132575166499,2.6238601793174254
48,189,239.73709040952963,2.682312532227489
48,190,236.3604650517591,2.5811953381272885
48,191,239.98174137617752,2.685541212890596
48,192,235.97391646275355,2.5525443998646358
48,193,239.07443104634876,2.676718563670291
48,194,238.22655637761636,2.6199878804001657
48,195,237.53476661821333,2.617400638846656
48,196,238.9606266814808,2.6660946101767213
48,197,237.72324012913305,2.605600997629109
48,198,239.23077487994306,2.673200052055267
48,199,237.55464630759525,2.6163580669365687
52,1,253.02983552941208,3.122167599096335
52,2,224.80580927875667,2.210337350162134
52,3,255.50217944638985,3.229005002243956
52,4,224.38713917357086,2.184349900252781
52,5,254.94300650238188,3.241697749888268
52,6,223.1075574385061,2.17044792365305
52,7,255.9507655330549,3.28927217814097
52,8,221.55047559100421,2.1383141964097785
52,9,257.20416331738306,3.323722198407502
52,10,220.47883692260257,2.1261934625859626
52,11,258.77380899122727,3.3840283881569344
52,12,218.88477804576587,2.087530823097424
52,13,259.2001655917843,3.4621250196365967
52,14,217.74833430241551,2.069760645662935
52,15,258.6362391144421,3.4043058062778266
52,16,218.14395132176196,2.072651343361219
52,17,260.05430106941276,3.468607793613616
52,18,214.27534037873284,2.0096865890935702
52,19,261.1828970211436,3.540786356144198
52,20,215.66048840818075,2.0339056925848844
52,21,259.87996316407225,3.5227761208962374
52,22,218.11381908967178,2.066741710948396
52,23,258.4085388682406,3.4087718925760564
52,24,218.99643369240584,2.0810406148603375
52,25,259.28804141737237,3.406891108601702
52,26,218.22301689647247,2.0592086318742844
52,27,257.9810973231779,3.3672564976698545
52,28,221.2448926342986,2.1125492964954216
52,29,257.3478733948741,3.3370814203900054
52,30,219.9832187394586,2.0889235168548814
52,31,257.9806277178177,3.3518099082048134
52,32,219.4775189901393,2.082513972819223
52,33,259.0731779299422,3.425376771096612
52,34,215.05680069668233,2.0145651013779853
52,35,259.7651527018461,3.501583854571996
52,36,217.54251244424267,2.049033935794542
52,37,260.05472664479385,3.461515103295013
52,38,215.9858304588888,2.0269181161220544
52,39,260.17741043133356,3.4703720208683113
52,40,217.204353151159,2.035092189724773
52,41,260.764564791265,3.459899295404521
52,42,213.26992573963435,1.9794970196202297
52,43,261.73718097856363,3.5256613512163084
52,44,213.948672567034,1.9794398322113749
52,45,261.42631707817054,3.540995799281157
52,46,213.037956302991,1.9625540929392091
52,47,261.5450426903153,3.5673806092602276
52,48,214.16106954472707,1.9755796190523767
52,49,260.0440798895579,3.4742520583920364
52,50,215.972726746244,2.0090453520845144
52,51,260.8466358377318,3.4866609711374466
52,52,213.48865841411862,1.9744253969434105
52,53,261.43891261353383,3.5159449912885647
52,54,213.8850828389168,1.9826511274436895
52,55,260.61748022354186,3.494580846592911
52,56,213.3594557317192,1.9624744347385632
52,57,260.9572547058051,3.4919872186711824
52,58,214.4423853801709,1.9751278217888846
52,59,260.4288041254222,3.4814370860837442
52,60,214.62929999816333,1.9832772592618866
52,61,259.9862841689719,3.4329257594551157
52,62,216.1382205970258,1.9989420751846103
52,63,259.5182746675018,3.4192531388940077
52,64,217.8934514328721,2.0461498405814793
52,65,258.9162582331737,3.376221493321746
52,66,216.99163977125863,2.015477662500777
52,67,259.4564514859376,3.379225224965107
52,68,215.5211633545041,2.004608078072956
52,69,260.43529177393066,3.467455261698674
52,70,215.99673921004432,1.9929993768650691
52,71,260.6641426833339,3.432046078023229
52,72,216.4975936023293,2.00444565053194
52,73,259.56473117088535,3.412592112036846
52,74,217.0934560875976,2.018265782587165
52,75,261.7192702010507,3.4690724229984533
52,76,212.63589650940776,1.9420378313563136
52,77,262.1227075085844,3.5131853905639083
52,78,211.6155489992052,1.9352860215427303
52,79,262.01178061510655,3.559918801548644
52,80,213.4936974367447,1.9632322727760418
52,81,261.1841786166515,3.5180494257794157
52,82,214.65424573774362,1.9781765113997163
52,83,260.53092778091013,3.4704426185627453
52,84,214.3838122344314,1.9758242649338265
52,85,261.68409841628454,3.5198830292215875
52,86,212.6032655104973,1.940297457309084
52,87,261.45148238878755,3.479731795720881
52,88,210.78159772456274,1.9167989986832574
52,89,262.85335132384716,3.5867942258008774
52,90,210.41806091550825,1.900051400735578
52,91,263.32831735478976,3.6148979679312303
52,92,210.8168485615206,1.9109008600302526
52,93,261.97174180997536,3.533050476866203
52,94,210.8165336495549,1.9063956580214418
52,95,262.72696247877684,3.564170444326521
52,96,211.8340077454086,1.9251666908591913
52,97,261.7297876574412,3.527916867886144
52,98,211.78608016582075,1.9208151344232314
52,99,261.5826004801529,3.5106674263873807
52,100,213.74813245868427,1.9461121396107417
52,101,261.17605588639344,3.4332769647340724
52,102,212.28033766493536,1.9263658190797874
52,103,263.38396006280163,3.5860057766642686
52,104,208.64672491578312,1.8726812237942985
52,105,262.27028503148904,3.55124830697679
52,106,211.70823047553495,1.9235466010019722
52,107,261.8957763575927,3.502814868872869
52,108,212.39035858704665,1.9305714900278448
52,109,261.35521310391414,3.490023714497711
52,110,214.6804418643951,1.9674251708315367
52,111,260.72091499183443,3.448725629643136
52,112,216.12678324178705,1.9863426504857837
52,113,259.43617993163207,3.3649912150680454
52,114,215.8589332048141,1.9887964920126222
52,115,260.10754244158306,3.3994765592341785
52,116,216.30951980949612,1.9829662773658119
52,117,258.6656411125805,3.372395058466659
52,118,218.41295560548315,2.015292350842526
52,119,258.09274987217213,3.318067908022425
52,120,218.62225754751853,2.0319061989870484
52,121,259.2246552525976,3.318263946130378
52,122,216.73384860128863,1.995758211445181
52,123,258.4843921076026,3.318718579471513
52,124,218.79159356833406,2.0353537407727678
52,125,259.0641424544592,3.292072480352117
52,126,218.70571714700782,2.028652925353834
52,127,258.4904044515424,3.3569103272350196
52,128,217.60391566010367,2.0098847898492607
52,129,258.2475625334919,3.3325090252756406
52,130,220.2428785555021,2.060270707327386
52,131,258.5678281368746,3.31742989303117
52,132,218.31167876296968,2.033241272900846
52,133,259.1082941552668,3.3499115020456665
52,134,220.06300843016652,2.063000927393406
52,135,256.7270755369973,3.2325871383923213
52,136,222.63158136026323,2.115480184721073
52,137,255.80749259828008,3.2249566982798665
52,138,224.01376740161504,2.1513729891740616
52,139,256.18173920345,3.212254206955552
52,140,222.11250422629382,2.1114526860345886
52,141,256.3541785684356,3.2277741329382885
52,142,222.681308149884,2.1282928145218127
52,143,256.2040371005569,3.237313315404123
52,144,223.9832547529586,2.1345036982510037
52,145,254.61356418541254,3.140278780511278
52,146,225.62750491106272,2.171454773080084
52,147,252.36498750311148,3.07149841171958
52,148,227.11335545228212,2.226874955774852
52,149,253.37175424856832,3.104305889069794
52,150,227.16785795724718,2.2145100012060714
52,151,253.2054855599563,3.070839006953627
52,152,228.2402817082475,2.250844707253463
52,153,250.89657016695855,3.0141093108041375
52,154,230.6690593598687,2.315550237252164
52,155,250.6407177908477,2.98139512986967
52,156,230.64255515112018,2.298732133836765
52,157,250.88904130805895,2.975050567831628
52,158,230.35121536759107,2.3025706742563883
52,159,251.7039060107636,3.009771614500724
52,160,228.94722551001178,2.281170909749855
52,161,251.99631836019398,3.0511396036828864
52,162,228.87113238837628,2.2716730476357982
52,163,252.87899761973677,3.089771224688998
52,164,227.8328134761614,2.2619260025141514
52,165,252.63309160529752,3.0883590675011456
52,166,229.69822570586985,2.2992159021531875
52,167,250.8527793830799,2.998422352846084
52,168,231.7316853298762,2.353129319899429
52,169,250.3133866201024,2.9897709626212667
52,170,230.74876967030286,2.314793837271405
52,171,251.5711899800517,3.033757245305227
52,172,229.04339902573702,2.295179337774352
52,173,251.82260662926274,3.068934424667553
52,174,228.8150982547304,2.2813166242361516
52,175,251.661125438397,3.036767592435923
52,176,231.36353918008535,2.3522989632052558
52,177,251.22177070280304,3.0374692634539873
52,178,230.9101430230803,2.3274525956095538
52,179,251.4706417598136,3.0125181963663454
52,180,229.13765473049716,2.3002308324589036
52,181,252.01029376379302,3.0632125267861334
52,182,227.7948290667846,2.2580249125349625
52,183,253.97829425711825,3.148861908933256
52,184,226.56133734658215,2.24055214493376
52,185,253.83285390539095,3.164756399864131
52,186,226.22186532544583,2.232086711836645
52,187,253.63700975958636,3.1655729262711145
52,188,228.23215151030308,2.2813183010003164
52,189,253.40154548130522,3.1635301174378045
52,190,227.8437196708037,2.262734264299294
52,191,253.64995563677803,3.157605406457704
52,192,225.46328724265913,2.2234761202980664
52,193,254.58594278309465,3.1796211319496455
52,194,225.81179683677328,2.2153845370622216
52,195,253.7460618566547,3.1711786424639885
52,196,225.90630616184353,2.225765668354373
52,197,255.13067851898086,3.2211308757502577
